Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Cool,Rock,Vodka,7UP/Sprite,F
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
Warm,Rock,Wine,Coca Cola/Pepsi,F
Warm,Folk/Traditional,Whiskey,Fanta,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Doesn't drink,Fanta,F
Cool,Pop,Beer,Coca Cola/Pepsi,F
Warm,Pop,Whiskey,Fanta,F
Warm,Rock,Other,7UP/Sprite,F
Neutral,Pop,Wine,Coca Cola/Pepsi,F
Cool,Pop,Other,7UP/Sprite,F
Warm,Pop,Other,7UP/Sprite,F
Warm,Pop,Wine,7UP/Sprite,F
Warm,Electronic,Wine,Coca Cola/Pepsi,F
Cool,Rock,Beer,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Cool,Pop,Wine,7UP/Sprite,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,7UP/Sprite,F
Cool,Pop,Beer,Fanta,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Warm,Pop,Other,Coca Cola/Pepsi,F
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,F
Cool,Pop,Beer,Other,F
Cool,Pop,Doesn't drink,Other,F
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Cool,Electronic,Doesn't drink,Fanta,F
Warm,Rock,Other,Coca Cola/Pepsi,F
Neutral,Rock,Beer,Coca Cola/Pepsi,F
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Warm,R&B and soul,Wine,Other,M
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Electronic,Other,Coca Cola/Pepsi,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Pop,Other,Fanta,M
Cool,Pop,Whiskey,Fanta,M
Warm,Rock,Vodka,7UP/Sprite,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Neutral,Pop,Doesn't drink,7UP/Sprite,M
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Wine,7UP/Sprite,M
Cool,Folk/Traditional,Beer,Other,M
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,Hip hop,Wine,Coca Cola/Pepsi,M
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Cool,Rock,Doesn't drink,Other,M
Warm,Hip hop,Beer,Coca Cola/Pepsi,M
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Hip hop,Doesn't drink,Other,M
Warm,Rock,Beer,Fanta,M
Cool,Electronic,Doesn't drink,Fanta,M
Cool,Electronic,Other,Fanta,M
Warm,Folk/Traditional,Other,Fanta,M
Warm,Electronic,Vodka,Fanta,M
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
Cool,Pop,Whiskey,Other,M
Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Cool,Hip hop,Beer,Coca Cola/Pepsi,M
Neutral,Hip hop,Doesn't drink,Fanta,M
Cool,Rock,Wine,Coca Cola/Pepsi,M
Cool,Electronic,Beer,Coca Cola/Pepsi,M